Type, Length, Width, e_L, e_W
C, 50, 39, 1, 1
C, 57, 44, 1, 1
C,    60,     45,    1,   1
C,    57,     44,    1,   1
C,    64,     44,    1,   1
C,    60,     45,    1,   1
C,    59,     43,    1,   1
C,    58,     44,    1,   1
C,    62,     44,    1,   1
C,    64,     43,    1,   1
C,    58,     45,    1,   1
C,    62,     45,    1,   1
C,         58,          42,         1,        1
C,         60,          46,         1,        1
C,         57,          44,         1,        1
C,         61,          46,         1,        1
C,         59,          44,         1,        1
C,         61,          45,         1,        1
C,         52,          42,         1,        1
C,         59,          45,         1,        1
C,         56,          44,         1,        1
C,         53,          43,         1,        1
